id,name,product,colour,quantity
1,Ger,pen,orange,63
2,Bob,paper,pink,96
3,Carol,paint,green,91
4,Eve,eraser,pink,87
5,Harriet,card,blue,35
6,Dan,card,orange,60
7,Fred,eraser,black,63
8,Harriet,eraser,white,66
9,Bob,pencil,orange,66
10,Ger,pen,white,1
11,Ger,pen,red,59
12,Ger,eraser,white,67
13,Eve,paper,green,9
14,Fred,pen,black,67
15,Harriet,pen,green,71
16,Bob,pencil,blue,77
17,Harriet,card,purple,37
18,Dan,paint,green,18
19,Alice,paint,blue,69
20,Dan,pen,purple,25
21,Alice,pen,red,67
22,Dan,paper,pink,20
23,Carol,paint,green,59
24,Fred,eraser,green,92
25,Dan,card,black,53
26,Carol,pen,pink,57
27,Harriet,eraser,purple,42
28,Carol,card,pink,86
29,Bob,paper,green,78
30,Alice,eraser,black,23
31,Carol,card,orange,41
32,Dan,paper,white,80
33,Alice,card,black,36
34,Alice,paint,green,46
35,Dan,eraser,pink,10
36,Eve,paper,blue,97
37,Ger,paint,orange,90
38,Carol,paper,white,16
39,Eve,paper,blue,33
40,Bob,pencil,blue,100
41,Fred,pen,orange,19
42,Fred,pen,orange,16
43,Dan,pencil,orange,41
44,Fred,paper,orange,46
45,Carol,paper,green,69
46,Bob,paint,orange,11
47,Dan,eraser,purple,49
48,Bob,pencil,black,82
49,Fred,pencil,blue,45
50,Dan,card,green,6
51,Fred,paint,green,44
52,Harriet,pencil,green,32
53,Eve,paper,white,81
54,Bob,paint,white,61
55,Harriet,card,pink,95
56,Fred,card,pink,45
57,Fred,card,red,84
58,Fred,pen,white,24
59,Harriet,card,white,84
60,Carol,card,white,71
61,Ger,paint,green,98
62,Dan,card,orange,17
63,Ger,eraser,blue,93
64,Fred,paint,green,86
65,Dan,paper,orange,48
66,Harriet,paint,pink,1
67,Dan,card,blue,76
68,Eve,paint,blue,8
69,Ger,eraser,green,54
70,Ger,paint,purple,49
71,Dan,pencil,orange,25
72,Alice,eraser,blue,45
73,Harriet,eraser,orange,27
74,Harriet,eraser,black,69
75,Eve,pen,pink,33
76,Bob,card,black,68
77,Ger,eraser,pink,28
78,Bob,pencil,pink,23
79,Alice,pencil,red,49
80,Ger,eraser,red,74
81,Eve,paper,purple,84
82,Fred,eraser,green,55
83,Fred,eraser,blue,80
84,Ger,card,blue,46
85,Bob,pencil,red,15
86,Harriet,pen,green,4
87,Carol,eraser,white,67
88,Alice,paper,white,84
89,Alice,pencil,purple,16
90,Ger,pen,pink,4
91,Bob,card,blue,30
92,Carol,eraser,pink,16
93,Fred,eraser,black,38
94,Harriet,paint,purple,84
95,Dan,pencil,white,69
96,Fred,paper,green,11
97,Alice,paper,purple,50
98,Alice,pen,black,58
99,Dan,card,purple,4
100,Eve,pen,pink,37
101,Alice,pencil,orange,23
102,Dan,pencil,white,97
103,Fred,paper,green,96
104,Dan,eraser,purple,93
105,Ger,pencil,blue,6
106,Fred,paper,pink,75
107,Alice,pencil,white,48
108,Alice,card,pink,15
109,Fred,card,red,8
110,Eve,paint,blue,37
111,Ger,paper,orange,97
112,Alice,paint,orange,5
113,Ger,pencil,pink,28
