id,name,product,colour,quantity
1,Alice,paper,blue,2
2,Alice,paper,blue,72
3,Carol,pencil,red,78
4,Bob,card,pink,79
5,Carol,card,orange,69
6,Dan,pen,blue,55
7,Carol,card,orange,86
8,Carol,card,blue,10
9,Harriet,paint,blue,17
10,Ger,eraser,red,93
11,Bob,pencil,orange,2
12,Harriet,paper,red,45
13,Dan,pen,white,94
14,Alice,pencil,red,77
15,Eve,paint,orange,36
16,Eve,paint,black,13
17,Dan,pencil,pink,36
18,Carol,card,purple,34
19,Harriet,eraser,green,36
20,Carol,card,purple,96
21,Harriet,pen,blue,52
22,Harriet,eraser,white,89
23,Carol,pen,pink,8
24,Fred,paint,purple,11
25,Alice,pen,white,6
26,Dan,paper,black,53
27,Eve,pencil,purple,25
28,Ger,eraser,orange,54
29,Dan,paint,green,84
30,Fred,eraser,pink,89
31,Bob,paint,green,83
32,Bob,pen,blue,66
33,Bob,pen,purple,27
34,Fred,pencil,pink,92
35,Fred,paper,green,47
36,Fred,paint,pink,4
37,Harriet,pencil,green,67
38,Ger,pencil,orange,32
39,Dan,card,red,4
40,Fred,paint,pink,18
41,Harriet,pencil,purple,58
42,Ger,paper,orange,96
43,Eve,eraser,orange,98
44,Dan,paint,white,98
45,Bob,eraser,orange,84
46,Carol,pencil,orange,20
47,Fred,eraser,white,1
48,Dan,paper,red,35
49,Fred,card,orange,25
50,Eve,eraser,red,47
51,Carol,paint,white,44
52,Fred,pen,blue,56
53,Bob,pen,green,5
54,Harriet,paint,white,38
55,Carol,card,red,31
56,Harriet,pen,purple,14
57,Harriet,paint,blue,17
58,Harriet,pencil,red,97
59,Alice,paint,red,68
60,Carol,pencil,black,40
61,Dan,pen,purple,63
62,Dan,eraser,black,10
63,Alice,paint,orange,28
64,Fred,card,orange,13
65,Ger,paint,white,90
66,Carol,paper,white,8
67,Dan,eraser,pink,75
68,Dan,eraser,purple,26
69,Eve,card,black,66
70,Eve,eraser,white,75
71,Alice,card,red,72
72,Carol,pencil,green,69
73,Alice,pen,green,22
74,Ger,paper,black,14
75,Harriet,card,red,65
76,Harriet,eraser,green,50
77,Eve,paper,orange,81
78,Fred,card,purple,6
79,Dan,eraser,purple,7
80,Alice,paper,red,48
81,Bob,card,red,46
82,Ger,pen,orange,51
83,Fred,eraser,purple,67
84,Dan,pencil,black,72
85,Bob,card,red,22
86,Ger,paper,orange,48
87,Fred,card,red,28
88,Ger,eraser,orange,54
89,Harriet,pen,white,80
90,Dan,paint,green,56
91,Alice,eraser,blue,33
92,Carol,eraser,blue,42
93,Ger,card,purple,56
94,Dan,paper,white,31
95,Eve,paint,blue,43
96,Dan,pen,pink,9
97,Carol,paint,white,36
98,Bob,eraser,orange,49
99,Harriet,pencil,pink,11
100,Eve,paper,red,9
