id,name,product,colour,quantity
1,Harriet,card,blue,68
2,Dan,pen,black,27
3,Carol,paper,blue,100
4,Fred,card,green,10
5,Bob,eraser,white,2
6,Eve,paint,orange,69
7,Bob,pencil,orange,46
8,Ger,paper,pink,59
9,Alice,pencil,red,11
10,Harriet,card,red,36
11,Carol,card,white,13
12,Bob,pen,red,94
13,Ger,card,purple,74
14,Harriet,paper,orange,99
15,Carol,paper,orange,12
16,Eve,pen,black,92
17,Bob,eraser,purple,42
18,Carol,paper,green,31
19,Harriet,pen,black,92
20,Dan,paper,black,65
21,Carol,paper,blue,5
22,Eve,paper,white,40
23,Dan,eraser,orange,1
24,Carol,paper,red,77
25,Bob,pencil,green,93
26,Harriet,pencil,red,67
27,Harriet,eraser,purple,25
28,Ger,pen,orange,36
29,Fred,card,green,31
30,Harriet,pen,blue,35
31,Dan,pen,black,62
32,Bob,eraser,green,95
33,Carol,paper,purple,95
34,Harriet,paint,blue,96
35,Fred,card,green,34
36,Eve,paper,white,9
37,Ger,card,red,15
38,Alice,card,white,70
39,Carol,pen,red,80
40,Harriet,pen,orange,95
41,Ger,eraser,black,37
42,Dan,pen,pink,16
43,Dan,pen,black,73
44,Alice,eraser,black,26
45,Dan,pencil,white,25
46,Harriet,pen,orange,65
47,Fred,paper,red,26
48,Carol,pencil,pink,21
49,Eve,pen,orange,85
50,Harriet,card,purple,13
51,Bob,card,orange,69
52,Fred,pen,green,31
53,Eve,paint,purple,19
54,Harriet,paint,green,8
55,Alice,pencil,black,17
56,Eve,eraser,red,89
57,Eve,pen,white,82
58,Alice,paint,purple,71
59,Eve,paper,white,22
60,Harriet,paper,black,63
61,Carol,paper,black,69
62,Eve,paper,pink,4
63,Harriet,pen,green,20
64,Harriet,pen,pink,38
65,Ger,pen,red,77
66,Fred,paint,white,75
67,Ger,pen,red,22
68,Dan,eraser,white,74
69,Harriet,card,pink,99
70,Harriet,paper,white,93
71,Dan,pencil,green,86
72,Dan,pen,blue,43
73,Eve,paint,purple,30
74,Ger,paper,white,43
75,Ger,eraser,white,79
76,Bob,paper,white,81
77,Ger,paper,green,24
78,Dan,paint,purple,37
79,Carol,pen,red,98
80,Fred,pen,orange,10
81,Dan,eraser,orange,5
82,Alice,card,orange,15
83,Dan,card,orange,44
84,Dan,pencil,orange,28
85,Bob,pencil,blue,79
86,Carol,pencil,blue,56
87,Dan,paper,white,9
88,Carol,pen,orange,7
89,Ger,paint,pink,22
90,Eve,eraser,green,95
91,Dan,paper,red,77
92,Carol,paper,red,58
93,Eve,pen,purple,58
94,Eve,pen,black,23
95,Carol,pencil,green,24
96,Dan,pencil,purple,35
97,Harriet,pencil,red,89
98,Alice,card,blue,51
99,Dan,paint,blue,45
100,Fred,pencil,purple,40
